Unique ID,Brand,Model,Case Size,Case Material,Dial,Reference Number,Movement,Bracelet Material,Bracelet Style,Bracelet Colour,Closing Mechanism,Closing Mechanism Material,Bezel,Bezel Colour,Bezel Numbers,Price,Complication 1,Complication 2,Complication 3,Complication 4,Hour Markers,Hour Marker Colour,Style,Exclusivity,Edition
RLX/DJ/WR/41/S/BLK/IND,Rolex,Datejust,41,White Rolesor,Black,126300,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Smooth,White Gold,Null,$8 400,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/S//SLT/IND,Rolex,Datejust,41,White Rolesor,Slate,126300,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Smooth,White Gold,Null,$8 400,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/S/WIM/ROM,Rolex,Datejust,41,White Rolesor,Wimbledon,126300,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Smooth,White Gold,Null,$8 400,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
RLX/DJ/WR/41/S/BLU/IND,Rolex,Datejust,41,White Rolesor,Blue,126300,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Smooth,White Gold,Null,$8 400,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/S/BLUE/ROM,Rolex,Datejust,41,White Rolesor,Azzuro Blue,126300,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Smooth,White Gold,Null,$8 400,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
RLX/DJ/WR/41/S/MNT/IND,Rolex,Datejust,41,White Rolesor,Mint Green,126300,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Smooth,White Gold,Null,$8 400,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/S/SIL/IND,Rolex,Datejust,41,White Rolesor,Silver,126300,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Smooth,White Gold,Null,$8 400,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/S/WHT/IND,Rolex,Datejust,41,White Rolesor,White,126300,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Smooth,White Gold,Null,$8 400,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/S/WHT/ROM,Rolex,Datejust,41,White Rolesor,White,126300,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Smooth,White Gold,Null,$8 400,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
RLX/DJ/WR/41/J//BLK/IND,Rolex,Datejust,41,White Rolesor,Black,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$10 800,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/J/SLT/IND,Rolex,Datejust,41,White Rolesor,Slate,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$10 800,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/J/WIM/ROM,Rolex,Datejust,41,White Rolesor,Wimbledon,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$10 800,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
RLX/DJ/WR/41/J/BLU/IND,Rolex,Datejust,41,White Rolesor,Blue,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$10 800,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/J/BLU/ROM,Rolex,Datejust,41,White Rolesor,Azzuro Blue,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$10 800,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
RLX/DJ/WR/41/J/MNT/IND,Rolex,Datejust,41,White Rolesor,Mint Green,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$10 800,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/J/SIL/IND,Rolex,Datejust,41,White Rolesor,Silver,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$10 800,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/J/WHT/IND,Rolex,Datejust,41,White Rolesor,White,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$10 800,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/WR/41/J/WHT/ROM,Rolex,Datejust,41,White Rolesor,White,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$10 800,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
RLX/DJ/WR/41/J/BLK/DIA,Rolex,Datejust,41,White Rolesor,Black,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$12 800,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/WR/41/J/SLT/DIA,Rolex,Datejust,41,White Rolesor,Slate,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$12 800,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/WR/41/J/BLU/DIA,Rolex,Datejust,41,White Rolesor,Blue,126334,Calibre 3235,White Rolesor,Jubilee,White Rolesor,Folding Clasp,White Rolesor,Fluted,White Gold,Null,$12 800,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/YR/41/S/BLK/IND,Rolex,Datejust,41,Yellow Rolesor,Black,126303,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Smooth,Yellow Gold,Null,$15 450,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/YR/41/S/WIM/ROM,Rolex,Datejust,41,Yellow Rolesor,Wimbledon,126303,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Smooth,Yellow Gold,Null,$15 450,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
RLX/DJ/YR/41/S/CHM/IND,Rolex,Datejust,41,Yellow Rolesor,Champagne,126303,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Smooth,Yellow Gold,Null,$15 450,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/YR/41/S/SIL/IND,Rolex,Datejust,41,Yellow Rolesor,Silver,126303,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Smooth,Yellow Gold,Null,$15 450,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/YR/41/S/WHT/IND,Rolex,Datejust,41,Yellow Rolesor,White,126303,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Smooth,Yellow Gold,Null,$15 450,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/YR/41/S/BLK/DIA,Rolex,Datejust,41,Yellow Rolesor,Black,126303,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Smooth,Yellow Gold,Null,$17 450,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/YR/41/S/CHM/DIA,Rolex,Datejust,41,Yellow Rolesor,Champagne,126303,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Smooth,Yellow Gold,Null,$17 450,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/YR/41/J/BLK/IND,Rolex,Datejust,41,Yellow Rolesor,Black,126333,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Jubilee,Yellow Gold,Null,$15 550,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/YR/41/J/WIM/ROM,Rolex,Datejust,41,Yellow Rolesor,Wimbledon,126333,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Jubilee,Yellow Gold,Null,$15 550,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
RLX/DJ/YR/41/J/CHM/IND,Rolex,Datejust,41,Yellow Rolesor,Champagne,126333,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Jubilee,Yellow Gold,Null,$15 550,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/YR/41/J/SIL/IND,Rolex,Datejust,41,Yellow Rolesor,Silver,126333,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Jubilee,Yellow Gold,Null,$15 550,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/YR/41/J/WHT/IND,Rolex,Datejust,41,Yellow Rolesor,White,126333,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Jubilee,Yellow Gold,Null,$15 550,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/YR/41/J/BLK/DIA,Rolex,Datejust,41,Yellow Rolesor,Black,126333,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Jubilee,Yellow Gold,Null,$17 550,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/YR/41/J/CHM/DIA,Rolex,Datejust,41,Yellow Rolesor,Champagne,126333,Calibre 3235,Yellow Rolesor,Jubilee,Yellow Rolesor,Folding Clasp,Yellow Rolesor,Jubilee,Yellow Gold,Null,$17 550,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/ER/41/S/WIM/ROM,Rolex,Datejust,41,Everose Rolesor,Wimbledon,126301,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Smooth,Everose Gold,Null,$15 950,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
RLX/DJ/ER/41/S/CHO/IND,Rolex,Datejust,41,Everose Rolesor,Chocolate,126301,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Smooth,Everose Gold,Null,$15 950,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/ER/41/S/SUN/IND,Rolex,Datejust,41,Everose Rolesor,Sundust,126301,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Smooth,Everose Gold,Null,$15 950,Date,,,,Indices,White,Dress,Low,NULL
RLX/DJ/ER/41/S/CHO/DIA,Rolex,Datejust,41,Everose Rolesor,Chocolate,126301,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Smooth,Everose Gold,Null,$17 950,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/ER/41/S/SUN/DIA,Rolex,Datejust,41,Everose Rolesor,Sundust,126301,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Smooth,Everose Gold,Null,$17 950,Date,,,,Diamonds,Diamonds,Dress,Low,NULL
RLX/DJ/ER/41/J/WIM/ROM,Rolex,Datejust,41,Everose Rolesor,Wimbledon,126331,Calibre 3235,Everose Rolesor,Jubilee,Everose Rolesor,Folding Clasp,Everose Rolesor,Jubilee,Everose Gold,Null,$15 950,Date,,,,Roman Numerals,White Gold,Dress,Low,NULL
