Included Bracelet ID,Bracelet Material,Bracelet Type,Bracelet Colour
WG/O,White Gold,Oyster,White Gold
WG/J,White Gold,Jubilee,White Gold
WG/I,White Gold,Integrated,White Gold
WG/P,White Gold,President,White Gold
WG/S,White Gold,Standard,White Gold
FWG/O,Frosted White Gold,Oyster,White Gold
FWG/J,Frosted White Gold,Jubilee,White Gold
FWG/I,Frosted White Gold,Integrated,White Gold
FWG/P,Frosted White Gold,President,White Gold
FWG/S,Frosted White Gold,Standard,White Gold
YG/O,Yellow Gold,Oyster,Yellow Gold
YG/J,Yellow Gold,Jubilee,Yellow Gold
YG/I,Yellow Gold,Integrated,Yellow Gold
YG/P,Yellow Gold,President,Yellow Gold
YG/S,Yellow Gold,Standard,Yellow Gold
FYG/O,Frosted Yellow Gold,Oyster,Yellow Gold
FYG/J,Frosted Yellow Gold,Jubilee,Yellow Gold
FYG/I,Frosted Yellow Gold,Integrated,Yellow Gold
FYG/P,Frosted Yellow Gold,President,Yellow Gold
FYG/S,Frosted Yellow Gold,Standard,Yellow Gold
RG/O,Rose Gold,Oyster,Rose Gold
RG/J,Rose Gold,Jubilee,Rose Gold
RG/I,Rose Gold,Integrated,Rose Gold
RG/P,Rose Gold,President,Rose Gold
RG/S,Rose Gold,Standard,Rose Gold
FRG/O,Frosted Rose Gold,Oyster,Rose Gold
FRG/J,Frosted Rose Gold,Jubilee,Rose Gold
FRG/I,Frosted Rose Gold,Integrated,Rose Gold
FRG/P,Frosted Rose Gold,President,Rose Gold
FRG/S,Frosted Rose Gold,Standard,Rose Gold
WTT/O,White Two-Tone,Oyster,White Two-Tone
WTT/J,White Two-Tone,Jubilee,White Two-Tone
WTT/I,White Two-Tone,Integrated,White Two-Tone
WTT/P,White Two-Tone,President,White Two-Tone
WTT/S,White Two-Tone,Standard,White Two-Tone
YTT/O,Yellow Two-Tone,Oyster,Yellow Two-Tone
YTT/J,Yellow Two-Tone,Jubilee,Yellow Two-Tone
YTT/I,Yellow Two-Tone,Integrated,Yellow Two-Tone
YTT/P,Yellow Two-Tone,President,Yellow Two-Tone
